Source,Citation,Quote,Comment
Lotus Sutra,Chapter 12,I attained perfect enlightenment and now save all living beings because Devadatta was my teacher.,"The Buddha makes this declaration in Chapter Twelve of the Lotus Sūtra. Devadatta was a cousin of the Buddha who became jealous of the Buddha’s enlightenment. Several times he tried to kill the Buddha. He also caused a split in the Buddha’s Sangha, and convinced a young prince to kill his father and usurp the throne. Devadatta was so evil that he fell into Hell alive. Despite all this, the Buddha credits Devadatta with helping him become enlightened, and assures Devadatta personally that he will become enlightened. This shows us that even those beings who create great harm have Buddha nature. They may not deserve our admiration, but they at least deserve our respect."
Lotus Sutra,Chapter 10,"Join your hands together and bow To the person who keeps this sūtra In the evil world after my extinction, Just as you do to me!","The Buddha sings these verses to Medicine-King Bodhisattva at the beginning of Chapter Ten of the Lotus Sūtra. By extension he is giving this instruction to all Bodhisattvas and great beings of the universe, and explaining to them that those who keep the Lotus Sūtra are as precious in this world of conflict at the Buddha himself. If we hear these verses with a mind of ego and attachment, we could conclude that we deserve respect and begin to demand it from others. Those who demand respect only generate fear. The Buddha gained respect by respecting all beings. When we treat others as Buddhas, we are certain to have that treatment reflected back towards us."
Lotus Sutra,Chapter 25,"If you hear his name, and see him,  And think of him constantly,  You will be able to eliminate all sufferings.","The Buddha gives this description of World-Voice-Perceiver Bodhisattva (Kannon, Kanzeon, Avalokitesvara) to Endless-Intent Bodhisattva in Chapter Twenty-Five of the Lotus Sūtra. World-Voice-Perceiver is the embodiment of compassion. The power of World-Voice-Perceiver is the power of compassion.World-Voice-Perceiver is also known as the one who brings fearlessness. When we can face up to the suffering in the world, both our own and that of others, we can see it for what it is. Then we are no longer afraid of suffering. What else is there to be afraid of?"
Lotus Sutra,Chapter 26,"Thereupon Medicine-King Bodhisattva said to the Buddha, “World-Honored One! Now I will give dhāraṇī-spells to the expounder of the Dharma in order to protect him.”","This promise to the Buddha from Medicine-King Bodhisattva comes in Chapter Twenty-Six of the Lotus Sutra. The dhāraṇīs are given in a language that nobody understands any more. But this does not reduce their effectiveness. In the second chapter of the Lotus Sutra, the Buddha declared that his wisdom cannot be reached by understanding alone. There is another, nonverbal aspect of his teaching that we must comprehend. The dhāraṇīs not only give us reassurance that beings we cannot comprehend are helping us to become enlightened, they also remind us to look for the unspoken teachings that are part of the Buddha Dharma."
Lotus Sutra,Chapter 16,"When I saw that some people of little virtue and of much defilement were seeking the teachings of the Lesser Vehicle, I told them, ‘I renounced my family when I was young, and attained Anuttara-samyak-saṃbodhi [forty and odd years ago].’ In reality I became the Buddha in the remotest past as I previously stated. I told them so as an expedient to teach them, to lead them into the Way to Buddhahood.","In Chapter Sixteen of  the Lotus Sutra, the Buddha gives this explanation of a parable he tells in Chapter Three. In that story, the foolish children of a wise man were playing in a burning house. The man tried to warn his children of the dangers of the house, but the children were so preoccupied with their games they would not leave. Only when the man promised them better toys outside would the children leave the house. The words used by the wise man were meant to get the children out of the house, even though the toys did not exist. These words were necessary to motivate the children to set aside their delusions. They were not meant to be taken literally. We learn from this explanation how the Buddha uses words, and why we formerly needed his expedient teachings."
Lotus Sutra,Chapter 20,"Although he was abused like this for many years, he did not get angry, He always said to them, 'You will become Buddhas.’","The Buddha tells this story of Never-Despising Bodhisattva in Chapter Twenty of the Lotus Sūtra. This Bodhisattva did not read or recite sutras. His practice was simply to tell all those whom he encountered, “I respect you deeply. I do not despise you.” Despite his pure intentions, the deluded minds of those who heard him caused them to be angry with him, beat him, and chase him away. While he did not stand fast and endure their abuse, he did not lose his respect for them. This is an example for us who aspire to practice the Wonderful Dharma to show us how we can learn to treat all beings."
Lotus Sutra,Chapter 14,"A bhikṣu who expounds this Sūtra Of the Lotus Flower of the Wonderful Dharma With patience After my extinction, Will be emancipated From jealousy, anger, and other illusions,  That is to say, from all obstacles.","The Buddha sings these verses to Mañjuśrī Bodhisattva in Chapter Fourteen of the Lotus Sūtra in which he describes the peaceful practices of a Bodhisattva. We may realize that jealousy and anger are not desirable states, but only because what these states do to our moods. No matter how justified we may feel in our jealousy or anger, these are not pleasant states to be in or even to be around. The Buddha reminds us that the real problem with these states is that they keep us from seeing things as they are. Jealousy exaggerates the importance of what we want but do not have. Anger exaggerates the bad qualities of the targets of our anger. When we focus on this wonderful teaching, develop our patience, and remain determined to benefit all beings, we see things for what they are, and are liberated from illusions."
Lotus Sutra,Chapter 18,"The merits of the [fiftieth] person  [Who hears this sūtra] are immeasurable.  Needless to say, so are the merits of the first person  Who rejoices at hearing it in the congregation.","The Buddha sings these verses to Maitreya Bodhisattva in Chapter Eighteen of the Lotus Sutra. This chapter includes a story of a person who hears the Wonderful Dharma, then explains it to the best of their ability to someone else. In this way there is a chain of fifty people who hear versions of this teaching modified by the capacities of those transmitting it. The effectiveness of this teaching does not depend on who delivers it. No matter what our capacity, any of us can teach the Lotus Sutra and practice it in our lives."
Nichiren,The Sutra Preached in Accordance to [the Buddha’s] Own Mind (Zui-jii Gosho),"The Lotus Sutra is called “Zui-jii,” namely it expounds the true mind of the Buddha. Since the Buddha’s mind is so great, even if one does not understand the profound meaning of the sutra, one can gain innumerable merits by just reading it. Just as mugwort among hemp plants grows straight and a snake in a tube straightens itself, if one becomes friendly with good people, one’s mind, behavior and words become naturally gentle. LIkewise, the Buddha thinks that those who believe in the Lotus Sutra become naturally virtuous.","Nichiren wrote this passage in his treatise The Sutra Preached in Accordance to [the Buddha’s] Own Mind (Zui-jii Gosho). In this passage, he makes clear what the Buddha meant by abandoning expedient teachings, and that the Lotus Sutra contains the Buddha’s highest teaching."
Lotus Sutra,Chapter 2,"Śāriputra! Some disciples of mine, who think that they are Arhats or Pratyekabuddhas, will not be my disciples or Arhats or Pratyekabuddhas if they do not hear or know that the Buddhas, the Tathāgatas, teach only Bodhisattvas.","The Buddha makes this declaration to his disciple Śāriputra in Chapter Two of the Lotus Sutra. When the Buddha says he only teaches Bodhisattvas, he does not mean that he excludes anyone from his teaching. It is only when we realize and develop our capacities as Bodhisattvas, beings who exist to benefit all beings, rather than being preoccupied with our own suffering, can we hear, practice and appreciate the Buddha Dharma."
Lotus Sutra,Chapter 4,"The Buddhas expound the Dharma In perfect freedom. Knowing the various desires and dispositions Of all living beings, They expound the Dharma With innumerable parables And with innumerable similes According to their capacities.","These verses are sung by Subhūti, Mahā-Kātyāyana, Mahā-Kāśyapa, and Mahā-Maudgalyāyana in Chapter Four of the Lotus Sūtra. They show the realization by the Buddha’s disciples of why the Buddha uses different teachings for different people. For us who do not know the various desires and dispositions of all living beings, the Buddha gives this Lotus Sūtra, When we put this teaching into practice, and use it to benefit all beings, it is as if we are teaching from the Buddha’s own mind."
Lotus Sutra,Chapter 11,“Who will expound the Sūtra of the Lotus Flower of the Wonderful Dharma in this Sahā-World? Now is the time to do this. I shall enter into Nirvāṇa before long. I wish to transmit this Sūtra of the Lotus Flower of the Wonderful Dharma to someone so that this sūtra may be preserved.” ,"The Buddha asks this of those gathered to hear him teach in Chapter Eleven of the Lotus Sūtra. If there had been no one among those listening who was able to expound the Sūtra, he would not have asked this question. Our ability to benefit others with the Buddha Dharma is not based on our eloquence, our intelligence or our position in life. It is based only on our faith in the Buddha’s teachings and our determination to benefit others. When we read, recite, and copy the Lotus Sūtra, the Buddha is transmitting it to us. We preserve the Sūtra through our practice."
Lotus Sutra,Chapter 20,"When he said this, people would strike him with a stick, a piece of wood, a piece of tile or a stone. He would run away to a distance, and say in a loud voice from afar, 'I do not despise you. You will become Buddhas.’","The Buddha tells this story of Never-Despising Bodhisattva in Chapter Twenty of the Lotus Sūtra. This Bodhisattva did not read or recite sūtras. His sole practice was to tell everyone he met, “I respect you deeply. I do not despise you.” Despite this pure practice, many people became angry and abused him because of their own perverted minds. He did not stay where he could suffer their abuse, and he still maintained his respect for them, despite their behavior. This and the other examples in the Lotus Sūtra of Bodhisattvas are examples for us who aspire to practice this Wonderful Teaching."
Lotus Sutra,Chapter 27,"They also had already obtained [the four states of mind towards all living beings:] compassion, loving-kindness, joy and impartiality.","The Buddha gives this description in Chapter Twenty-Seven of the Lotus Sutra of two boys who had been the previous lives of Medicine-King and Medicine-Superior Bodhisattvas. These four states of mind are those which allow to see the world for what it is and bring true benefit for all beings. Any living being is capable of them. Their opposites:  cruelty, indifference, misery and prejudice, are never what we aspire to, even though we find ourselves in them far too often. But even these states can be used as an indication that we are not seeing things for what they are, and lead us back to a true curiosity and appreciation for what we have."
Lotus Sutra,Chapter 11,"Anyone who expounds this sūtra Will be able to see me, To see Many-Treasures Tathāgata, And to see the Buddhas of my replicas.","The Buddha sings these verses in Chapter Eleven of the Lotus Sūtra. We can hear this teaching with an aspiration to see visions of Śākyamuni Buddha and other Buddhas. But we can also hear the Buddha’s promise that when we keep in mind his assurance that we and all beings have the capacity for enlightenment, we will see the world differently. We will start to interpret the actions of ourselves and others in a new light. We will see many more beings who are helping us to become enlightened, rather than beings who are frustrating our efforts at pursuing our selfish goals."
Nichiren,Spiritual Contemplation and the Most Venerable (Kanjin Honzon-Shō).,"As we look at each others’ faces, we notice our facial expression changes from time to time. It is full of delight, anger or calm sometimes; but other times it changes to greed, ignorance or flattery. Anger represents hells; greed - hungry spirits; ignorance - beasts; flattery - asura demons; delight - gods; and calm - men. Thus we can see in the countenance of people six realms of illusion, from hells to the realm of gods. We cannot see the four realms of holy ones (śrāvaka, pratyekabuddha, bodhisattvas and Buddhas), which are hidden from our eyes. Nevertheless, we must be able to see them too, if we look for them carefully.","Nichiren wrote this passage in his treatise on Spiritual Contemplation and the Most Venerable (Kanjin Honzon-Shō). In other writings, he described Hell as not being in the earth and Heaven as not in the sky, but both within the two meter frame of our own bodies. In this work he shows us to look outside ourselves and recognize these realms in the beings with whom we share our world. The higher realms of devotion, perseverance, generosity and wisdom are more difficult to recognize, so difficult that we sometimes wonder whether they exist at all. With the Buddha’s teaching, we know they exist. We find what we look for."
Lotus Sutra,Chapter 28,"He will have correct memory and the powers of merits and virtues. He will not be troubled by the three poisons. He will not be troubled by jealousy, arrogance from selfishness, arrogance from self-assumed attainment of enlightenment, or arrogance from self-assumed acquisition of virtues. He will want little, know contentment, and practice just as you do.","The Buddha gives this description of the person who keeps and practices the Lotus Sūtra to Universal-Sage Bodhisattva (Fugen, Samantabhadra) in Chapter Twenty-Eight of the Lotus Sūtra. Powers of merits are what we have when we see things clearly. The three poisons are greed, anger and ignorance. The practice of Universal-Sage is to support and encourage everyone who takes on this difficult practice of the Wonderful Dharma. This is another Bodhisattva who gives us an example of how we can live in this world of conflict."
Lotus Sutra,Chapter 23,"Star-King-Flower! This sūtra saves all living beings. This sūtra saves them from all sufferings, and gives them great benefits. All living beings will be able to fulfill their wishes by this sūtra just as a man who reaches a pond of fresh water when he is thirsty, just as a man who gets fire when he suffers from cold.","The Buddha gives this description of the merits of the Lotus Sūtra to Star-King-Flower Bodhisattva in Chapter Twenty-Three of the Lotus Sūtra. The comparison of our bodily desires to our desire for enlightenment shows the kind of joy we can expect when we realize what this teaching can accomplish. Anyone whose thirst is quenched is sure to become thirsty again, now matter how pleasant it is to drink. The Buddha Dharma fulfills a thirst of which we may not even be aware. We are certain that things in this world of conflict will bring us joy. When we realize they can only bring us pleasure, and know the difference between joy and pleasure, we become aware of our true wishes and what this sūtra does for us."
Lotus Sutra,Chapter 28,"The Buddha said to Universal-Sage Bodhisattva:
“The good men or women will be able to obtain this Sūtra of the Lotus Flower of the Wonderful Dharma after my extinction if they do the following four things: (1) secure the protection of the Buddhas, (2) plant the roots of virtue, (3) reach the stage of steadiness [in proceeding to enlightenment], and (4) resolve to save all living beings. The good men or women will be able to obtain this sūtra after my extinction if they do these four things.”","For us who aspire to this difficult practice of the Wonderful Dharma, the Buddha gives this guide in Chapter Twenty-Eight of the Lotus Sūtra. For us to have even heard of this sūtra in this life we must have already done these four things. In order to maintain this practice, we need to use the Buddha’s protection for the benefit of all beings, not just for our benefit alone. We need to nourish the virtuous seeds we have already planted, remain steady and confident on the path to enlightenment, and sustain our determination to maintain our respect for everyone."
Nichiren,Treatise on All Phenomena as Ultimate Reality (Shohō Jissō-Shō),"Have faith in the great Mandala Gohonzon, the most superlative in the world. Endeavor! Endeavor to strengthen your faith, so that you may be blessed with the protective powers of all Buddhas.","Nichiren wrote this as part of his letter to monk Sairen-bō in his Treatise on All Phenomena as Ultimate Reality (Shohō-Jissō Shō). One way of reading this passage is that as we develop our faith in the Omandala Gohonzon, the Buddhas will provide more protection for us. Another way to read it is that as our faith develops, so does the power we have to protect others, free them from suffering and help them to awaken their Buddha nature. Either way, Nichiren shows us the practical results of our faith."
Lotus Sutra,Chapter 10,"To enter the room of the Tathāgata means to have great compassion. To wear his robe means to be gentle and patient. To sit on his seat means to see the voidness of all things. Expound the Dharma only after you do these [three] things! ","The Buddha sings these verses in Chapter Ten of the Lotus Sūtra. Our compassion leads us to engage with the world and benefit others. Cultivating our gentle and patient nature lets us live the peace everyone wants and show them how to obtain it. To see the voidness of things does not mean acting as if they don’t exist. We presume that things that do not exist forever do not exist at all. A wisp of smoke. A fleeting smile. The Buddha teaches that there is nothing permanent and self-existing. Only what is interdependent and changing truly exists.Only that which is connected with everything else truly exists.Nothing hinders us. Nothing opposes us. When we see the harmony in our changing existence, then we see the Buddha Dharma."
Nichiren,Treatise on the True Way of Practicing the Teaching of the Buddha (Nyosetsu Shugyō-shō),"However, we now live in the Latter Age of Degeneration, when disputes and quarrels are rampant while the True Dharma is lost. There is nothing but evil lands where evil rulers, evil subjects and evil people reject the True Dharma, showing respect only to evil dharmas and evil teachers. Evil spirits take advantage of this, filling the lands with the so-called three calamities and seven disasters.","Nichiren wrote this passage in his Treatise on the True Way of Practicing the Teaching of the Buddha (Nyosetsu Shugyō-shō). It can be hard for us to imagine how what we believe can change our society. We think we have to create a new political system, or put the right people in power, or acquire wealth before we can have peace. What would happen in a world where people believed their happiness was intertwined with that of others? What happens in a world where people believe their happiness has to come at the expense of others? Our beliefs are far more powerful than we realize. When we put our belief in the Buddha’s description of the world as it is, and see our place in it as Bodhisattvas who have chosen to be here to benefit others, the world changes before our eyes."
Lotus Sutra,Chapter 28,"Universal-Sage! Anyone who keeps, reads and recites this sūtra [in the later five hundred years] after [my extinction], will not be attached to clothing, bedding, food or drink, or any other thing for living. What he wishes will not remain unfulfilled. He will be able to obtain the rewards of his merits in his present life.","The Buddha makes this promise to Universal-Sage Bodhisattva in Chapter Twenty-Eight of the Lotus Sūtra. When we who are living in this latter age of Degeneration keep and practice this Sūtra, we change the focus of our own existence. We lose our dependence on the things we thought we needed to make us happy, and thus learn to appreciate them for what they are. We set aside our fear of losing these things and gain the courage to handle situations we previously thought were impossible. We stop focusing on what we need to live and find gratitude for what sustains our lives."
Lotus Sutra,Chapter 13,"We will wear the armor of endurance Because we respect and believe you. We will endure all these difficulties In order to expound this sūtra.","Medicine-King Bodhisattva and Great-Eloquence Bodhisattva, along with their attendants, declare these verses to the Buddha in Chapter Thirteen of the Lotus Sutra. The Buddha had asked previously who would teach the Lotus Sūtra after the Buddha’s death. These Bodhisattvas declare their aspirations to maintain their practice of the Buddha Dharma in the face of unimaginable difficulties. We may believe that this practice will lead to permanent comfort and pleasure. But knowing that we are in a world that is constantly changing, we realize that any difficulty is temporary, and that the way to a beneficial outcome may only go through difficulties. This knowledge and faith in the Buddha’s teachings increases our capacity to be a beneficial force in this world of conflict."
Lotus Sutra,Chapter 21,"Anyone who understands why the Buddhas expound [many] sūtras,  Who knows the position [of this sūtra in the series of sūtras],  And who expounds it after my extinction  According to its true meaning,  Will be able to eliminate the darkness  Of the living beings of the world where he walks about,  Just as the light of the sun and the moon  Eliminates all darkness.","The Buddha sings these verses to Superior-Practice Bodhisattva (Jōgyo, Viśiṣṭacārītra) in Chapter Twenty-One of the Lotus Sūtra. The superiority of the Lotus Sūtra does not disparage the Buddha’s expedient teachings. The Lotus Sūtra leads all beings to enlightenment. Other teachings could only reach a limited audience. When we as Bodhisattvas who are determined to benefit all beings expound this highest expression of the Buddha’s wisdom, and do not limit ourselves to saving only a few, then we become the light that limits the darkness of ignorance, fear and violence in this world of conflict."
Lotus Sutra,Chapter 12,"I sought the Great Dharma strenuously Because I wished to save all living beings. I did not wish to benefit myself Or to have the pleasures of the five desires.","The Buddha sings these verses in Chapter Twelve of the Lotus Sūtra. He describes his previous life as a great king who abandoned his throne, his wealth, and all the advantages of his position in society for the sake of enlightenment. In that life he realized that having pleasure as a goal was not making him happy, and only through the vow of the Bodhisattva to benefit all beings could he learn to see the world as it is."
Lotus Sutra,Chapter 26,"These ten rākṣasīs [and their attendants] came to the Buddha, together with Mother-Of-Devils and her children and attendants. They said to the Buddha simultaneously:
“World-Honored One! We also will protect the person who reads, recites and keeps the Sūtra of the Lotus Flower of the Wonderful Dharma so that he may have no trouble. No one shall take advantage of the weak points of this teacher of the Dharma.”","These fierce demons make this promise to the Buddha in Chapter Twenty-Six of the Lotus Sūtra. Mother-of-Devils, also known as Kishimojin, was once a demon who stole and ate human children, until the Buddha reminded her that humans loved their children in the same way she loved her own. The Buddha does not judge or condemn any being. Instead he uses his insight to transform our understanding to see the harm we create in the world through satisfying our selfish desires. When we work for the benefit of all beings, we find all beings working for our benefit also."
Lotus Sutra,Chapter 3,"I see that all living beings are burned by the fires of birth, old age, disease, death, grief, sorrow, suffering and lamentation. They undergo various sufferings because they have the five desires and the desire for gain...Notwithstanding all this, however, they are playing joyfully. They are not conscious of the sufferings. They are not frightened at the sufferings or afraid of them. They do not dislike them or try to get rid of them. They are running about this burning house of the triple world, and do not mind even when they undergo great sufferings.","The Buddha offers this explanation to his disciple Śāriputra in Chapter Three of the Lotus Sūtra. He compares his teaching of suffering and Nirvāṇa to a father luring his children from a dangerous house with a promise of better toys. The children were so preoccupied with their own entertainment that they could not hear their father’s warning. In this triple world of beautiful forms, fascinating ideas and consuming desires, it is easy to stay with our childish games and ignore the Buddha’s teaching. Our maturity as Bodhisattvas comes when we set these aside for the benefit of all beings. "
Lotus Sutra,Chapter 7,"All living beings are suffering. Being blind, they have no leader. They do not know how to stop suffering, Or that they should seek emancipation. In the long night fewer people go to heaven, And more people go to the evil regions. They go from darkness to darkness, and do not hear Of the names of the Buddhas.","The children of Great-Universal-Wisdom-Excellence Buddha proclaim this to their father in a story told by Śākyamuni Buddha in Chapter Seven of the Lotus Sūtra. They understand that when beings are so preoccupied with their own happiness, and so convinced that this happiness comes from what they can acquire, that they need an enlightened being to lead them to see the world as it is. With the Lotus Sūtra as the embodiment of the Buddha’s highest teaching, we have the same wisdom present to us as those children’s father was to them."
Lotus Sutra,Chapter 15,"Truly, truly good men! I am peaceful. I am in good health. The living beings are ready to be saved. They do not fatigue me because I already taught them in their consecutive previous existences, and also because they have already honored the past Buddhas respectfully and planted the roots of good.","The Buddha makes this proclamation to the leaders of the Bodhisattvas from Underground in Chapter Fifteen of the Lotus Sūtra. These Bodhisattvas appeared when the Buddha asked who would teach the Lotus Sūtra after the Buddha’s death, and asked about the Buddha’s health and whether those he was teaching could keep what he provided for them. The Buddha assures us not only of the certainty of our future enlightenment, but that for us to receive his teaching, there was an earlier time, which we may have forgotten, when we met him. This awareness of our future and our past helps us to see our place in the world and maintain our determination to benefit all beings."
Lotus Sutra,Chapter 28,"Thereupon Universal-Sage Bodhisattva said to the Buddha: 
“World-Honored One! If anyone keeps this sūtra in the defiled world in the later five hundred years after [your extinction], I will protect him so that he may be free from any trouble, that he may be peaceful, and that no one may take advantage [of his weak points].”","Universal-Sage Bodhisattva (Fugen, Samantabhadra) makes this vow to the Buddha in Chapter Twenty-Eight of the Lotus Sutra. In this world of conflict, it can seem like very few people are practicing the Buddha Dharma with us. Nichiren compared those beings alive in this world of conflict to the amount of soil in the whole earth, while those who keep and practice the Lotus Sūtra are like the dirt under a fingernail. The vow of Universal-Sage reminds us that innumerable beings support our practice and that in turn, we support them with our practice."
Lotus Sutra,Chapter 7,"You, the World-Honored One, know What all living beings have deep in their minds, What teachings they are practicing, And how much power of wisdom they have.","The children of Great-Universal-Wisdom-Excellence Buddha proclaim this to their father in a story told by Śākyamuni Buddha in Chapter Seven of the Lotus Sūtra. In our preoccupation with our pursuits in this world of conflict we are so focused on our schemes that we have forgotten the Buddha’s wisdom dormant in us all. With the Lotus Sūtra, the Buddha leads us to an unfamiliar and even uncomfortable way of seeing the world. But it is only when we leave the false safety of our delusions that we can truly benefit ourselves and others."
Lotus Sutra,Chapter 15,"The highest Dharma that I attained Is profound and difficult to understand. Now I will expound it. Listen to me with all your hearts!","The Buddha sings these verses to those gathered to hear him teach in Chapter Fifteen of the Lotus Sūtra. He has already said that we must leave behind the expedient teachings tailored to our minds and take on the highest teaching which is the Buddha’s own mind. He knows how difficult this is for us, that we cannot hear it through our understanding alone, so he asks us to use our whole being to hear him."
Lotus Sutra,Chapter 7,"Bhikṣus, know this! I can enter skillfully deep into the natures of all living beings. Because I saw that they wished to hear the teachings of the Lesser Vehicle and that they were deeply attached to the five desires, I expounded the teaching of Nirvāṇa to them. When they heard that teaching, they received it by faith.","The Buddha gives this explanation to the Bhikṣus (monks and nuns) gathered to hear him teach in Chapter Seven of the Lotus Sūtra. As difficult as it is to hear the Buddha’s highest teaching, he would not give it to us unless we were ready to receive it. Still, we who would receive it must set aside his earlier teachings as a means to our personal happiness, and see them as preparations to learn how to benefit all beings. Our faith in the Buddha is the confidence that we will become as enlightened as he is, and that he is helping all of us on the path to that enlightenment."
Lotus Sutra,Chapter 5,"I know the Way. I have opened the Way. I will expound the Way. Gods, men and asuras! Come and hear the Dharma!","The Buddha makes this declaration at the beginning of Chapter Five of the Lotus Sūtra. If anyone besides the Buddha had said this, we would accuse them of arrogance: pretending to know what they do not. The Buddha does not separate himself from us. Because he knows we can become as enlightened as he is, he does not place himself as superior. He also knows that unless we hear him, he cannot help us to become enlightened. To accept this help means taking responsibility for our progress on the path. We cannot continue alone but we must make our own effort. "
Lotus Sutra,Chapter 8,"The merits of the Buddha are beyond the expression of our words. Only the Buddha, only the World-Honored One, knows the wishes we have deep in our minds.","In Chapter Eight of the Lotus Sutra, Pūrṇa has these words in mind while looking at the face of the Buddha. The thoughts we have are mostly words, and the words are about the things we want. Words can help us make sense of the world around us, especially the words the Buddha uses to teach us. But words can also confuse us when we mistake our expectations for the reality of the world. When the Buddha calls us to become Bodhisattvas, to realize that our happiness is linked to that of all beings, his words open a part of our mind with which we are not familiar. He asks us to set aside the habits we have learned from this world of conflict and see his world in a new way."
Nichiren,Treatise on Chanting the Great Title of the Lotus Sūtra (Shō Hokke Daimoku-shō),"Upon seeing such passages in various sutras as “The truth lies beyond language,” and “It is found where the mind is extinguished,” they will embrace an evil thought that the holy scriptures of the Buddha do not reveal his true Enlightenment. As a result, devils get hold of these three categories of people in the Latter Age of Degeneration, and even destroy the country.","Nichiren wrote this passage in his Treatise on Chanting the Great Title of the Lotus Sūtra (Shō Hokke Daimoku-shō). He reminds us that even though words are limited, we must not cast out the Buddha’s true teaching as unable to lead us to enlightenment. We can revere the Buddha Dharma without making it into a dogma. When we ignore completely what the Buddha left for us, what remains is our own selfish desires and confusion. When the individuals in a society are focused only on their own personal benefit, how can that society survive?"
Lotus Sutra,Chapter 14,"When they come to him  With good intent In order to hear About the enlightenment of the Buddha, He should expound the Dharma to them Without fear, But should not wish to receive Anything from them.","The Buddha makes this explanation to Mañjuśrī Bodhisattva in Chapter Fourteen of the Lotus Sūtra in which he describes the peaceful practices of a Bodhisattva. In our zeal to practice this Wonderful Dharma we may come to expect that because this is such a wonderful teaching, we deserve to be rewarded for providing it to others. With this expectation, we then lose our focus on using the Dharma to benefit others and instead use it to benefit ourselves. When we show how to give freely, without expectations, we embody generosity, the same generosity the Buddha himself demonstrated when he provided the teaching to us."
Lotus Sutra,Chapter 7,"Let us go even to the end of one thousand billion worlds, And find the place from where this light has come. A Buddha may have appeared somewhere in the universe In order to save the suffering beings.","These verses are sung by the Brahma King Great Compassion in Chapter Seven of the Lotus Sūtra. He invites his fellow Brahma Kings, creators of entire worlds, to leave the luxury of their palaces to find a Buddha who is leading all beings to enlightenment. They value the Buddha’s words more than anything that they have created for themselves, and know how rare it is to encounter an enlightened being. These kings give us an example of how we can learn to treasure the Buddha Dharma."
Nichiren,Treatise on Phenomenal and Noumenal Offering (Jiri Kuyō Gosho),"When we worship gods or Buddhas, we begin with the phrase of “namu.” Namu is an Indian word that has come to mean “offering of life to Buddhas and gods” in China and Japan. Our social standing is determined in part by possessing a spouse and children, retainers, fiefs, and gold and silver, though some people do not have those. Regardless of whether we possess these or not, no one possess treasure more precious than life. Accordingly, sages and wise men in the past have donated their lives to the Buddhas in order to attain Buddhahood.","Nichiren wrote this passage in his Treatise on Phenomenal and Noumenal Offering (Jiri Kuyō Gosho). We tend to judge ourselves and others by the outward aspects of their lives: where we live, what we wear, our position in society, and the company we keep. It is easy to lose sight of what will happen when we leave this life and give up all those things, even our precious bodies. Nichiren reminds us that our lives are all we have, and when we live them in gratitude for what the Buddha teaches us, and dedicate ourselves to benefitting others, then we exist as enlightened beings."
Lotus Sutra,Chapter 15,World-Honored One! Explain all this so that we may be able to remove our doubts and that the good men in the future may have no doubts when they hear these words of yours!,"The Bodhisattva Maitreya makes this request to the Buddha in Chapter Fifteen of the Lotus Sūtra. There are several ways that the Buddha leads us to his enlightenment. One is by making us aware of the mysteries that abound in this world of conflict. The Lotus Sūtra promises in Chapter One that no question will be left unresolved. But unless we are aware of these questions, and these mysteries, then they cannot be explained. When we allow ourselves to wonder, to question, to become aware of the mystery of existence, and resist being ashamed of not knowing. then we are coming to understand the Buddha’s own mind."
Lotus Sutra,Chapter 9,"Good men! Ānanda and I resolved to aspire for Anuttara-samyak-saṃbodhi under the Void-King Buddha at the same time [in our previous existence]. At that time Ānanda always wished to hear much while I always practiced strenuously. Therefore, I have already attained Anuttara-samyak-saṃbodhi[, but he has not yet]. Now he protects my teachings.","The Buddha gives this description to those gathered to hear him teach in Chapter Nine of the Lotus Sūtra. In the story, he has just assured his cousin Ānanda that he will become a Buddha. He then explains the difference between hearing what the Buddha teaches and making it a part of our lives. It is when we practice the Buddha Dharma that we truly understand it. But even if we believe we do not have the capacity to practice, it is still important for us to hear and protect what the Buddha left for us. By giving others the opportunity to learn and do what perhaps we cannot, we help to improve their lives, and give them a chance to improve ours."
Lotus Sutra,Chapter 16,"The gods, men and asuras in the world think that I, Śākyamuni Buddha, left the palace of the Śākyas, sat at the place of enlightenment not far from the City of Gayā, and attained Anuttara-samyak-saṃbodhi [forty and odd years ago]. To tell the truth, good men, it is many hundreds of thousands of billions of nayutas of kalpas since I became the Buddha.","The Buddha makes this proclamation in Chapter Sixteen of the Lotus Sutra. This was the first time he revealed himself not as the temporal Siddhartha Gautama, the man who left home and became enlightened, but as the Ever-Present Buddha Śākyamuni who has been alive for innumerable eons helping beings to become enlightened and will continue that existence for twice that time into the future. This is the highest teaching of the Buddha, the purpose of all his expedient teachings that came before, and the Wonderful Dharma that is most difficult to believe and understand. When we comprehend the existence of this Ever-Present Buddha for even the blink of an eye, we gain more clarity about the world than through any of the Buddha’s other teachings."
Lotus Sutra,Chapter 17,"Having heard from you  Of the duration of your life,  Living beings as many as the particles of earth  Of eight Sumeru-worlds  Aspired for unsurpassed [enlightenment].","The Bodhisattva Maitreya sings these verses in Chapter Seventeen of the Lotus Sutra. He describes the effect on all beings of the Buddha’s revealing his existence as the Ever-Present Śākyamuni. If we believed that the Buddha was just a man who lived 2500 years ago, we might think that we had to wait until another being became enlightened before we could follow them on the path to our own awakening. But with this understanding that the Buddha is always helping us, here and now, then we awaken our capacity to see things as they are and work confidently for the benefit of all beings."
